City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,72.81,light rain,-23.1203,-134.9692,People ThankYou
3,Imbituba,BR,71.85,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
6,Hualmay,PE,66.18,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
12,Nyimba,ZM,74.77,clear sky,-14.5566,30.8149,Dali Dali Lodge
13,Kapaa,US,75.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Yellowknife,CA,68.56,clear sky,62.456,-114.3525,The Explorer Hotel
15,Hayden,US,74.79,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
16,Ponta Do Sol,PT,79.72,clear sky,32.6667,-17.1,Hotel do Campo
18,Goderich,CA,76.91,clear sky,43.7501,-81.7165,Harmony Inn
20,Fereydunshahr,IR,69.53,clear sky,32.941,50.121,موسسه آسمان پرواز پرتیکان
32,Chuy,UY,67.05,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
34,Morondava,MG,74.17,clear sky,-20.2833,44.2833,La Case Bambou
37,Sao Filipe,CV,77.43,broken clouds,14.8961,-24.4956,Hotel Xaguate
38,Divo,CI,77.43,light rain,5.8397,-5.36,Hôtel IROKO
40,Hilo,US,77.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
42,Biabas,PH,77.5,light rain,9.8,124.4667,Inday Dajeros Holiday Home Bohol
43,Saravan,AM,70.11,clear sky,39.7196,45.6483,
47,Yumen,CN,74.35,clear sky,40.2833,97.2,
51,San Juan,AR,74.25,clear sky,-31.5375,-68.5364,Hotel Provincial
52,Faanui,PF,78.69,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
53,Mumford,GH,74.32,overcast clouds,5.2618,-0.759,Spanish Villa
55,Alubijid,PH,73.89,overcast clouds,8.5733,124.4736,GJD Space Rentals
59,Fare,PF,78.22,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
64,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
67,Cidreira,BR,65.25,scattered clouds,-30.1811,-50.2056,Hotel Castelo
69,Nikolskoye,RU,73.29,clear sky,59.7035,30.7861,Tourist House - Sablino
71,Portland,US,72.05,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
73,Hasaki,JP,77.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
76,Loralai,PK,70.54,overcast clouds,30.3705,68.598,Saddam Hotel & Resturant
81,Hambantota,LK,78.91,broken clouds,6.1241,81.1185,Bungalow 63
84,San Patricio,US,78.69,heavy intensity rain,28.017,-97.5169,"Motel 6 Sinton, TX"
87,Atuona,PF,77.16,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
