City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rapid Valley,US,44.0625,-103.1463,82.63,51,100,4.0,overcast clouds
1,Makhachkala,RU,42.9764,47.5024,80.58,68,0,15.73,clear sky
2,Rikitea,PF,-23.1203,-134.9692,72.81,78,13,17.4,light rain
3,Imbituba,BR,-28.24,-48.6703,71.85,83,100,18.99,overcast clouds
4,Zelenets,RU,61.8849,50.7489,57.45,59,18,2.71,few clouds
5,Ushuaia,AR,-54.8,-68.3,37.06,87,100,19.57,light rain
6,Hualmay,PE,-11.0964,-77.6139,66.18,71,32,10.31,scattered clouds
7,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,35,0,31.07,clear sky
8,Kodiak,US,57.79,-152.4072,52.14,94,97,1.5,overcast clouds
9,Hall,US,34.3168,-83.7832,84.74,53,88,5.35,overcast clouds
10,Airai,TL,-8.9266,125.4092,55.45,87,39,3.53,scattered clouds
11,Bluff,NZ,-46.6,168.3333,43.5,85,98,6.53,overcast clouds
12,Nyimba,ZM,-14.5566,30.8149,74.77,26,8,2.8,clear sky
13,Kapaa,US,22.0752,-159.319,75.18,87,27,3.0,scattered clouds
14,Yellowknife,CA,62.456,-114.3525,68.56,56,0,12.66,clear sky
15,Hayden,US,47.766,-116.7866,74.79,48,0,9.22,clear sky
16,Ponta Do Sol,PT,32.6667,-17.1,79.72,72,4,2.17,clear sky
17,Coihaique,CL,-45.5752,-72.0662,35.55,80,100,6.91,heavy snow
18,Goderich,CA,43.7501,-81.7165,76.91,43,6,6.91,clear sky
19,Port Elizabeth,ZA,-33.918,25.5701,53.1,87,40,31.07,shower rain
20,Fereydunshahr,IR,32.941,50.121,69.53,14,0,5.06,clear sky
21,Komsomolskiy,UZ,40.4272,71.7189,86.72,28,0,4.61,clear sky
22,Punta Arenas,CL,-53.15,-70.9167,39.31,81,75,13.8,broken clouds
23,Talas,TR,38.6908,35.5538,84.87,25,20,3.44,few clouds
24,Khilok,RU,51.3674,110.4676,55.83,75,84,2.91,broken clouds
25,Ouesso,CG,1.6136,16.0517,80.96,56,90,2.08,overcast clouds
26,Tshikapa,CD,-6.4167,20.8,86.86,18,50,2.62,scattered clouds
27,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,76,0,16.11,clear sky
28,Iqaluit,CA,63.7506,-68.5145,44.33,86,100,8.05,light rain
29,Port Alfred,ZA,-33.5906,26.891,55.71,68,43,36.82,light rain
30,Albany,US,42.6001,-73.9662,80.62,41,0,1.99,clear sky
31,Yulara,AU,-25.2406,130.9889,46.24,53,0,0.0,clear sky
32,Chuy,UY,-33.6971,-53.4616,67.05,69,6,11.54,clear sky
33,Fukue,JP,32.6881,128.8419,83.3,86,88,14.41,overcast clouds
34,Morondava,MG,-20.2833,44.2833,74.17,75,0,8.88,clear sky
35,Zaragoza,ES,41.6561,-0.8773,98.85,16,0,12.66,clear sky
36,Bakel,SN,14.905,-12.4568,93.43,46,19,6.64,few clouds
37,Sao Filipe,CV,14.8961,-24.4956,77.43,78,76,9.1,broken clouds
38,Divo,CI,5.8397,-5.36,77.43,79,95,6.35,light rain
39,Lorengau,PG,-2.0226,147.2712,80.31,68,91,5.57,overcast clouds
40,Hilo,US,19.7297,-155.09,77.29,83,45,1.99,scattered clouds
41,Rawson,AR,-43.3002,-65.1023,56.97,29,99,27.34,overcast clouds
42,Biabas,PH,9.8,124.4667,77.5,88,100,13.13,light rain
43,Saravan,AM,39.7196,45.6483,70.11,43,0,8.75,clear sky
44,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,93,100,16.11,light rain
45,Bredasdorp,ZA,-34.5322,20.0403,45.3,75,53,3.91,broken clouds
46,Elizabeth City,US,36.2946,-76.2511,82.06,62,67,8.66,broken clouds
47,Yumen,CN,40.2833,97.2,74.35,25,1,6.89,clear sky
48,Hermanus,ZA,-34.4187,19.2345,48.79,60,82,7.47,broken clouds
49,North Platte,US,41.1239,-100.7654,93.81,23,11,11.41,few clouds
50,Busselton,AU,-33.65,115.3333,54.72,75,74,9.53,broken clouds
51,San Juan,AR,-31.5375,-68.5364,74.25,14,7,11.56,clear sky
52,Faanui,PF,-16.4833,-151.75,78.69,74,4,17.76,clear sky
53,Mumford,GH,5.2618,-0.759,74.32,86,100,20.83,overcast clouds
54,Naliya,IN,23.2667,68.8333,80.06,88,77,20.92,broken clouds
55,Alubijid,PH,8.5733,124.4736,73.89,92,100,3.33,overcast clouds
56,Husavik,IS,66.0449,-17.3389,46.02,85,93,12.95,overcast clouds
57,Aksu,CN,41.1231,80.2644,83.97,34,63,5.82,broken clouds
58,Carutapera,BR,-1.195,-46.02,85.35,60,27,9.93,scattered clouds
59,Fare,PF,-16.7,-151.0167,78.22,74,10,16.08,clear sky
60,Khatanga,RU,71.9667,102.5,51.03,58,21,5.68,few clouds
61,Pevek,RU,69.7008,170.3133,32.18,87,95,8.81,overcast clouds
62,Cape Town,ZA,-33.9258,18.4232,54.01,61,20,13.8,few clouds
63,Hobart,AU,-42.8794,147.3294,52.27,91,100,6.91,overcast clouds
64,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,99,8.99,overcast clouds
65,Ibra,OM,22.6906,58.5334,83.55,56,91,10.83,overcast clouds
66,Mar Del Plata,AR,-38.0023,-57.5575,60.82,82,40,5.75,scattered clouds
67,Cidreira,BR,-30.1811,-50.2056,65.25,77,29,12.12,scattered clouds
68,Celestun,MX,20.8667,-90.4,87.46,59,53,2.19,broken clouds
69,Nikolskoye,RU,59.7035,30.7861,73.29,58,8,5.46,clear sky
70,Nanortalik,GL,60.1432,-45.2371,45.16,96,99,10.67,overcast clouds
71,Portland,US,45.5234,-122.6762,72.05,76,75,3.0,broken clouds
72,Ust-Karsk,RU,52.7011,118.8077,57.09,77,37,2.33,scattered clouds
73,Hasaki,JP,35.7333,140.8333,77.29,87,26,6.53,scattered clouds
74,Homer,US,59.6425,-151.5483,54.77,94,99,3.0,overcast clouds
75,Lincoln,US,40.8,-96.667,85.14,68,63,5.01,broken clouds
76,Loralai,PK,30.3705,68.598,70.54,80,100,3.27,overcast clouds
77,Dubbo,AU,-32.25,148.6167,46.53,93,100,3.44,overcast clouds
78,Tasiilaq,GL,65.6145,-37.6368,40.51,69,68,4.79,broken clouds
79,Coquimbo,CL,-29.9533,-71.3436,56.93,76,40,6.91,scattered clouds
80,Brae,GB,60.3964,-1.353,60.8,81,100,10.04,overcast clouds
81,Hambantota,LK,6.1241,81.1185,78.91,83,80,14.94,broken clouds
82,Bereda,ES,43.2686,-7.5406,82.42,53,76,8.21,broken clouds
83,Pedernales,DO,18.0384,-71.744,84.61,66,88,8.03,overcast clouds
84,San Patricio,US,28.017,-97.5169,78.69,87,100,12.97,heavy intensity rain
85,Leningradskiy,RU,69.3833,178.4167,32.52,86,75,1.25,broken clouds
86,Qaanaaq,GL,77.484,-69.3632,43.3,63,100,9.42,overcast clouds
87,Atuona,PF,-9.8,-139.0333,77.16,74,25,22.79,light rain
88,Kaeo,NZ,-35.1,173.7833,48.33,95,100,4.16,overcast clouds
89,Pasighat,IN,28.0667,95.3333,78.24,91,6,3.49,clear sky
90,Pangnirtung,CA,66.1451,-65.7125,48.2,87,75,11.5,broken clouds
91,Kutum,SD,14.2,24.6667,81.25,51,78,8.32,light rain
92,Jadu,LY,31.953,12.0261,96.1,15,0,13.69,clear sky
93,Vaini,TO,-21.2,-175.2,69.96,83,20,11.5,few clouds
94,Hervey Bay,AU,-25.2986,152.8535,57.4,63,0,6.33,clear sky
