City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2022-08-14 00:37:53,55.7435,-97.8558,73.56,33,20,3.44
1,Punta Arenas,CL,2022-08-14 00:39:49,-53.15,-70.9167,37.51,87,75,14.97
2,Ambon,ID,2022-08-14 00:39:49,-3.6954,128.1814,82.54,78,75,5.75
3,Tsogni,GA,2022-08-14 00:39:50,-2.7942,10.0988,69.31,85,80,4.23
4,Kibaha,TZ,2022-08-14 00:39:50,-6.7667,38.9167,68.52,96,42,2.75
5,Codrington,AU,2022-08-14 00:39:51,-38.2667,141.9667,55.26,83,35,19.95
6,Souillac,MU,2022-08-14 00:39:51,-20.5167,57.5167,66.58,77,75,13.8
7,Allahganj,IN,2022-08-14 00:39:52,27.55,79.6833,84.38,68,72,4.76
8,Ushuaia,AR,2022-08-14 00:39:52,-54.8,-68.3,37.06,70,75,13.8
9,Bredasdorp,ZA,2022-08-14 00:39:52,-34.5322,20.0403,49.95,84,22,18.68
10,Zhigansk,RU,2022-08-14 00:39:53,66.7697,123.3711,55.0,68,56,10.29
11,Flin Flon,CA,2022-08-14 00:34:55,54.7682,-101.865,73.11,45,9,4.63
12,Ribeira Grande,PT,2022-08-14 00:39:53,38.5167,-28.7,75.92,88,4,6.04
13,Busselton,AU,2022-08-14 00:39:54,-33.65,115.3333,55.36,66,42,2.04
14,Atuona,PF,2022-08-14 00:39:54,-9.8,-139.0333,77.4,69,2,20.02
15,Butaritari,KI,2022-08-14 00:39:55,3.0707,172.7902,81.55,78,23,17.38
16,Ukiah,US,2022-08-14 00:39:55,39.1502,-123.2078,92.84,18,0,11.5
17,Lagoa,PT,2022-08-14 00:39:56,39.05,-27.9833,74.55,89,0,9.44
18,Brigantine,US,2022-08-14 00:39:57,39.4101,-74.3646,72.0,70,0,8.05
19,Mulbagal,IN,2022-08-14 00:39:57,13.1667,78.4,69.28,73,100,14.5
20,Faanui,PF,2022-08-14 00:39:58,-16.4833,-151.75,77.94,75,13,12.55
21,Lazarev,RU,2022-08-14 00:39:58,52.225,141.5131,59.95,82,24,2.51
22,Mataura,NZ,2022-08-14 00:39:58,-46.1927,168.8643,50.49,60,0,6.22
23,Ostrovnoy,RU,2022-08-14 00:39:59,68.0531,39.5131,49.55,76,97,14.41
24,Belyy Yar,RU,2022-08-14 00:40:00,53.6039,91.3903,63.86,88,40,8.95
25,Jamestown,US,2022-08-14 00:36:53,42.097,-79.2353,67.64,42,0,4.61
26,Rikitea,PF,2022-08-14 00:40:01,-23.1203,-134.9692,73.44,77,72,20.74
27,Karratha,AU,2022-08-14 00:40:01,-20.7377,116.8463,76.1,44,7,5.91
28,Chicama,PE,2022-08-14 00:40:02,-7.8447,-79.1469,59.54,82,35,6.49
29,Barrow,US,2022-08-14 00:40:02,71.2906,-156.7887,35.62,87,100,6.91
30,Trincomalee,LK,2022-08-14 00:40:04,8.5711,81.2335,80.49,72,99,12.53
31,Puerto El Triunfo,SV,2022-08-14 00:40:04,13.2833,-88.55,86.92,83,43,4.63
32,Kieta,PG,2022-08-14 00:40:05,-6.2167,155.6333,84.43,66,7,3.94
33,Dikson,RU,2022-08-14 00:40:06,73.5069,80.5464,44.58,100,100,3.89
34,Conde,BR,2022-08-14 00:40:06,-7.2597,-34.9075,72.86,83,0,9.22
35,Weatherford,US,2022-08-14 00:40:07,32.7593,-97.7972,96.53,33,7,3.0
36,Hermanus,ZA,2022-08-14 00:40:07,-34.4187,19.2345,52.81,77,98,20.8
37,Vila Velha,BR,2022-08-14 00:40:08,-20.3297,-40.2925,69.94,72,75,0.0
38,Beringovskiy,RU,2022-08-14 00:40:08,63.05,179.3167,46.74,71,11,8.5
39,Kodiak,US,2022-08-14 00:40:09,57.79,-152.4072,56.71,88,100,4.61
40,Pushkinskiye Gory,RU,2022-08-14 00:40:09,57.0209,28.9103,58.14,85,8,2.68
41,Vaini,TO,2022-08-14 00:40:10,-21.2,-175.2,75.36,69,20,13.8
